frame_no, object_id, xmin, ymin, xmax, ymax, status

0,1,795,241,915,534,1

0,2,451,212,781,539,1

0,3,710,230,821,491,1

0,4,203,335,382,536,1

0,5,324,272,454,523,1

0,6,180,284,230,355,1

0,7,21,308,240,533,1

0,8,218,258,445,537,1

0,9,375,258,461,458,1

0,10,630,253,744,347,1

0,11,98,255,159,331,1

0,12,429,246,526,475,1

0,13,622,247,653,298,1

0,14,867,240,904,313,1

0,15,796,257,831,316,1

0,16,221,213,357,414,1

0,17,633,251,790,517,1

0,18,378,258,453,368,1

0,19,433,256,469,335,1

0,20,900,186,958,387,1

0,21,829,266,957,534,1

0,22,415,268,450,336,1

0,23,331,271,409,359,1

1,1,797,246,913,529,1

1,2,452,212,782,539,1

1,3,709,229,821,492,1

1,4,203,325,391,536,1

1,5,324,272,456,527,1

1,6,181,282,231,353,1

1,7,19,308,237,532,1

1,8,216,237,460,537,1

1,9,375,260,455,447,1

1,10,631,254,744,347,1

1,11,95,255,160,335,1

1,12,427,243,529,484,1

1,13,622,247,651,294,1

1,14,867,240,902,309,1

1,15,795,257,831,316,1

1,16,228,214,356,403,1

1,17,623,250,784,522,1

1,18,379,258,447,358,1

1,19,433,256,469,334,1

1,20,895,182,961,408,1

1,21,843,205,979,492,1

1,22,413,267,450,337,1

1,23,340,274,408,351,1

1,24,13,307,82,396,1

2,1,798,246,914,529,1

2,2,450,209,783,539,1

2,3,703,228,824,514,1

2,4,204,322,395,537,1

2,5,324,272,456,528,1

2,6,182,281,231,351,1

2,7,18,300,244,531,1

2,8,228,236,458,521,1

2,9,371,261,461,471,1

2,10,626,257,734,347,1

2,11,93,256,162,340,1

2,12,432,247,531,482,1

2,14,867,239,902,308,1

2,15,794,257,829,317,1

2,16,213,222,373,459,1

2,17,623,253,782,521,1

2,18,374,259,454,377,1

2,19,435,258,468,330,1

2,20,899,178,957,378,1

2,23,341,272,413,354,1

2,25,466,250,524,414,1

2,26,429,255,482,466,1

2,27,59,267,233,442,1

3,1,796,246,913,529,1

3,2,454,209,786,538,1

3,3,697,228,824,529,1

3,4,209,325,397,537,1

3,5,324,273,457,528,1

3,6,181,281,233,353,1

3,7,23,306,240,528,1

3,8,227,236,465,532,1

3,9,364,266,458,484,1

3,10,621,258,727,346,1

3,11,93,257,162,341,1

3,12,429,248,528,482,1

3,14,866,238,902,307,1

3,15,794,258,829,317,1

3,16,227,221,367,428,1

3,17,623,250,784,523,1

3,18,374,258,448,366,1

3,19,434,257,470,333,1

3,20,899,176,956,372,1

3,23,345,275,420,361,1

3,28,409,267,453,346,1

3,29,872,186,958,467,1

4,1,797,246,913,529,1

4,2,453,214,781,538,1

4,3,694,227,823,533,1

4,4,214,326,402,538,1

4,5,324,273,457,529,1

4,6,182,281,236,358,1

4,7,28,309,244,530,1

4,8,230,238,465,535,1

4,9,347,281,450,519,1

4,10,617,257,723,345,1

4,11,94,257,164,341,1

4,12,429,247,527,479,1

4,14,866,237,902,307,1

4,15,795,259,829,316,1

4,16,229,225,377,443,1

4,17,623,255,783,524,1

4,18,377,258,448,361,1

4,19,435,257,471,335,1

4,20,890,178,954,398,1

4,23,344,269,431,369,1

4,28,407,266,452,346,1

4,30,356,264,460,417,1

5,1,796,246,912,528,1

5,2,457,218,782,538,1

5,3,697,227,823,524,1

5,4,213,317,410,539,1

5,5,356,265,452,448,1

5,6,180,282,238,364,1

5,7,29,318,239,532,1

5,8,231,237,468,535,1

5,9,342,292,447,529,1

5,10,615,256,722,346,1

5,11,93,256,163,341,1

5,12,431,248,529,476,1

5,14,865,237,902,309,1

5,15,796,260,828,316,1

5,16,242,227,395,455,1

5,17,619,255,780,525,1

5,18,376,258,447,360,1

5,19,437,259,472,333,1

5,20,891,174,956,398,1

5,23,343,265,440,377,1

5,28,406,269,452,352,1

5,31,827,276,959,530,1

6,1,794,246,911,532,1

6,2,461,222,784,538,1

6,3,700,229,823,520,1

6,4,212,310,414,539,1

6,5,364,268,460,452,1

6,6,178,282,240,371,1

6,7,30,319,240,532,1

6,8,242,233,451,501,1

6,9,341,292,450,535,1

6,10,614,254,721,346,1

6,11,93,258,166,343,1

6,12,435,248,529,467,1

6,14,866,236,902,307,1

6,15,795,260,828,315,1

6,16,264,228,397,427,1

6,17,615,254,779,528,1

6,18,373,259,447,364,1

6,19,437,259,474,335,1

6,20,873,178,953,448,1

6,23,344,263,447,383,1

6,28,405,270,453,355,1

6,31,831,270,965,530,1

6,32,108,258,160,332,1

